composer_name,title,song_length.bars,n_notes,rating,n_views,is_best_arrangement,metadata,mxl
W.A. Mozart,W.A. Mozart - Contredanse in F K. 15h,48,232,0.0,87,False,./metadata/5/6219296.json,./mxl/1/30/QmbL2idE5ykZoHvUMVzTdEWQvmyPqgHA5C4UWET1tkjqUk.mxl
Mozart,Mozart - Voi che sapete,106,368,0.0,87,False,./metadata/9/4941214.json,./mxl/2/32/QmcMMY4qTFSQiHeTE6eurZWbRhLUWLfyKs4GRuiQ9rbugW.mxl
W.A. Mozart,W.A. Mozart - Minuet in C (Fragment) K. 15rr,26,162,0.0,77,False,./metadata/9/6241049.json,./mxl/3/12/QmdB5hodNzPvFwGD3FqSqGiSu7Fwcb8TRxkqGV7VY9whjK.mxl
W.A. Mozart,W.A. Mozart - Minuet in F K. 15m,40,366,0.0,77,False,./metadata/9/6219523.json,./mxl/8/18/QmQE15XtA19p8r4gzthEDXiUGWDumAai1S3eimVEZkRAeY.mxl
W.A. Mozart,W.A. Mozart - Minuet in E-flat K. 15ee,32,242,0.0,77,False,./metadata/7/6237087.json,./mxl/3/46/QmduG5oXwgzodop1UcWVyub93FHXA8XPYsTGbuhU9QNCLN.mxl
Wolfgang Amadeus Mozart,Arie Nun vergiss leises Fleh n,16,190,0.0,75,False,./metadata/2/5645285.json,./mxl/16/43/QmYSGmB2LLDhQbczuUtD9ir4vovr83RVAHroahLE1x4KtY.mxl
W.A. Mozart,W.A. Mozart - Minuet in A K. 15i,32,230,0.0,71,False,./metadata/6/6219330.json,./mxl/8/14/QmQCV6CoLgAqSkdJRzw8Hmi3zMPfbauopWrD5vK7FuZkiN.mxl
W. A. Mozart,Allegro in C Major - K. 1b,12,73,0.0,70,False,./metadata/4/2832941.json,./mxl/7/19/QmPfDccN4ijaCkCoFnKzchGDBDGQZcurmjMmveN24uVsfn.mxl
Mozart,Ah vous dirai-je Maman 1 var,48,428,0.0,60,False,./metadata/6/6323680.json,./mxl/2/37/QmcPEe85q7b2VRDMCQ69VjxjZejahUp4sL6zsPyFGL2zY2.mxl
W.A. Mozart,W.A. Mozart - Minuet in A-flat K. 15ff,32,214,0.0,57,False,./metadata/8/6238102.json,./mxl/13/31/QmVmRpz4jbHbGjWgHbFeJ7xFU6UvQNrSn83oGsZPX1mFfX.mxl
Wolfgang Amadeus Mozart (1756-1791) Anh. 41 (375g),Fugue Fragment Anh. 41 (375g) Mozart Wolfgang Amadeus,27,346,0.0,56,True,./metadata/1/5641641.json,./mxl/14/26/QmWjADfYFkxvaydHJAAr8JqCJz5M9XYt57v6c7hiYbWHdx.mxl
Mozart,Mozart - FIN CH' HAN DAL VINO,104,290,0.0,52,False,./metadata/6/4872463.json,./mxl/16/50/QmYwHCzqofTm47G6c7qCoAyawDWgBSX17r19LVwsNwpQwN.mxl
Mozart,Mozart - MINUET from Don Giovanni.,32,128,0.0,51,False,./metadata/7/4911573.json,./mxl/6/47/QmNULmYLQtpLf48aWooc1tm5CJ41RPT3W2so4LNMt6qaep.mxl
Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart - Andante,18,156,0.0,48,False,./metadata/7/4654459.json,./mxl/5/53/QmfXzmimMw9PJYo33o3cEJ7PK1HfPYLKEr4L1iEkf3MkBs.mxl
Mozart Wolfgang Amadeus,Allegro in F major,28,198,0.0,46,False,./metadata/0/6156814.json,./mxl/3/19/Qmdf6BRgG4PNcU3o5BLSBFe5eBqQD6gyqVHR2YAMXvp2pk.mxl
Mozart,Mozart - MINUET from Don Giovanni.,32,128,0.0,43,False,./metadata/4/4720304.json,./mxl/7/13/QmPcxBF7h3WzpKpNNNX2sX6GrGSbwb7Y5qmh7r33ewjhYA.mxl
Mozart3 Part Canon,Dona_Nobis_Pacem,25,60,0.0,43,False,./metadata/4/6369276.json,./mxl/0/45/QmaTJSXMiCnRJGDYoSoxgdc3qMAhEoAjGR9NdoRHNz9CpM.mxl
Waltz.--Mozart.,The MAY FLOWER,65,278,0.0,42,False,./metadata/1/4694036.json,./mxl/8/26/QmQjwGNPyHGybopdDFGfJYwasxVHYiDDwKt8jN4w4gnn6F.mxl
Mozart,Mozart - LA CI DAREM LA MANO,40,191,0.0,39,False,./metadata/4/5102642.json,./mxl/13/6/QmV7SYELCUoBmDHwvYaRmgmZ1bTULAcnW4dnwjHL3hwLDb.mxl
Mozart,Mozart - March (Mozart),18,58,0.0,38,False,./metadata/1/4571926.json,./mxl/8/10/QmQAqG5Hm4uAwSpdqEpNjUzDY4e9w4DwdjTeunDXvjq1QV.mxl
Mozart KV 5362 1788,Michael Turner's Waltz,36,134,0.0,36,False,./metadata/3/5044313.json,./mxl/14/1/QmW2814ZoMaHQ5yjFMmrYWQfTPWB2C5MB6nxs5AQgJ768G.mxl
Mozart,Mozart - LA CI DAREM LA MANO,40,191,0.0,34,False,./metadata/7/5056575.json,./mxl/5/3/Qmf4ZPqgRrzbomuJxz4nmjSRXsgxd3ug5vniSpJw4wrJ69.mxl
W.A.Mozart (1783),Theme from Concerto 2 in Eb for Horn K417,33,145,0.0,31,False,./metadata/3/4563489.json,./mxl/4/14/QmeC7tZn6Xgr612NAqM4SVXKZBrNHtCycneQYb1fs48KCu.mxl
Mozart,Mozart - NON PIU ANDRAI,56,386,0.0,30,False,./metadata/9/4706105.json,./mxl/9/38/QmRqcrT6oKzSBqTKVYgx6X4ER3V2HsMU8pUMpU758hGThG.mxl
W.A.Mozart,Mozart's Upside-down Canon,77,393,0.0,28,False,./metadata/6/4565657.json,./mxl/16/22/QmYGvwGRCu1jnjG2hsPenqYYxnLSuitmTvp2jUJJMx5K4x.mxl
Mozart,Mozart - AIR,19,106,0.0,26,True,./metadata/6/4884270.json,./mxl/4/25/QmeiJjtLojyWFriNEMJTeaWAKJJWeoHdYWiUGkR5Y89iTX.mxl
Mozart KV 5362 1788,Michael Turner's Waltz,36,134,0.0,23,False,./metadata/5/4667685.json,./mxl/9/44/QmRt2L6yP4E8RX4qoHhLuVGZtu9Creue1zudgQoDXT1wsz.mxl
Mozart.,Mozart - The STORM WALTZ,88,341,0.0,20,False,./metadata/3/4941762.json,./mxl/8/31/QmQmPfHLWpizDmHAfpTVcef8U5W5UZ4jc89hhfhCSNZW9K.mxl
Mozart,Mozart - WALTZ,104,344,0.0,19,False,./metadata/3/5165165.json,./mxl/0/0/Qma1ccSDsEDKSvENkFgAexQGsq6k15NtDDcHTKfgRHg5hy.mxl
W.A.Mozart,Trio from Menuette,9,73,0.0,18,False,./metadata/1/5153705.json,./mxl/10/47/QmSUaNPTAJbcN6SnK4KVMEDQiVy6ZcGQqgh9h8EJadRjFp.mxl
Attributed to W. A. Mozart,Alleluia Round,8,36,0.0,18,False,./metadata/5/4574038.json,./mxl/17/49/QmZVqHfz4dh9FbNhxHPiPYZczP3US5Prwc4A7BGJcoH5ze.mxl
Tune is Rondo Alla Turca by Mozart,Good Man of Cambridge,49,206,0.0,17,True,./metadata/0/4597100.json,./mxl/12/52/QmUxwuPVs6uubHzTMQvKtpeyqHWVnMEyf51oVpEnChRpF5.mxl
Mozart,Mozart - Grand Menuetto EHo.124,134,956,0.0,17,False,./metadata/4/4940462.json,./mxl/4/15/QmedH3co511SQhz38PGpxbniNAMQSh7itYVxVRhBrXQVX2.mxl
Mozart,Mozart - LIFE LET US CHERISH,34,134,0.0,16,False,./metadata/9/4868125.json,./mxl/4/52/QmexCShbKzARK6CnpBRacHvLDAoG6mR3p7pg83ixdz8pfm.mxl
Mozart,Una broma musical - Mozart,11,37,0.0,15,False,./metadata/8/5983159.json,./mxl/4/50/Qmew8ocb6jC229XdB8x2qDtUhTEMEbyE3RGGdDS2LGVMKs.mxl
